diplomata,tempo_servico,tempo_na_lotacao,tempo_fora,tempo_sede,lotacao_anterior,classificacao_anterior,lotacao_alocada,classificacao_alocada
D228,298,0,107,0,P216,B,P1,A
D175,296,15,136,0,P296,B,P3,A
D40,295,24,139,0,P341,C,P5,A
D231,293,10,111,0,P182,A,P182,A
D60,293,8,122,0,P80,B,P6,A
D15,288,17,127,0,P322,D,P10,A
D180,284,22,127,0,P91,B,P20,A
D57,280,21,139,0,P264,D,P25,A
D214,279,15,124,0,P311,B,P29,A
D51,277,9,121,0,P30,D,P129,A
D141,276,20,125,0,P362,A,P362,A
D198,273,19,120,0,P131,D,P44,A
D35,273,24,126,0,P45,D,P149,A
D70,271,2,101,0,P17,B,P51,A
D19,270,5,126,0,P232,B,P75,A
D6,270,2,118,0,P305,A,P305,A
D137,268,6,119,0,P308,B,P84,A
D32,268,16,117,0,P133,A,P133,A
D30,266,17,130,0,P46,C,P97,A
D68,266,7,124,0,P324,D,P100,A
D161,262,20,118,0,P201,A,P201,A
D122,261,18,138,0,P168,B,P360,A
D16,259,20,129,0,P367,D,P104,A
D113,256,18,138,0,P83,D,P110,A
D216,255,24,121,0,P218,D,P113,A
D92,254,18,124,0,P52,B,P370,A
D165,252,12,118,0,P277,C,P116,A
D217,252,1,102,0,P288,A,P288,A
D147,252,13,126,0,P313,B,P119,A
D148,249,13,113,0,P105,D,P124,A
D220,248,22,130,0,P98,B,P126,A
D171,247,10,115,0,P43,A,P43,A
D7,246,3,111,0,P359,C,P130,A
D209,245,11,121,0,P337,B,P134,A
D219,242,14,126,0,P148,B,P139,A
D55,242,6,123,0,P238,C,P142,A
D49,241,17,122,0,P353,D,P316,A
D196,240,7,127,0,P208,C,P146,A
D237,238,8,123,0,P50,A,P50,A
D108,237,19,129,0,P320,C,P166,A
D39,237,22,133,0,P141,C,P176,A
D245,236,9,116,0,P101,D,P191,A
D79,236,19,117,0,P342,C,P194,A
D45,235,23,133,0,P361,A,P361,A
D143,235,0,107,0,P289,C,P195,A
D88,233,5,118,0,P107,D,P203,A
D103,230,9,130,0,P170,B,P204,A
D96,230,13,112,0,P312,A,P312,A
D99,229,17,134,0,P278,D,P205,A
D63,228,6,124,0,P183,B,P206,A
D127,228,19,132,0,P112,C,P211,A
D138,228,2,110,0,P229,D,P213,A
D86,227,23,143,0,P275,C,P235,A
D46,226,6,107,0,P369,D,P231,A
D89,225,19,137,0,P219,A,P219,A
D197,225,21,127,0,P274,C,P240,A
D95,221,7,124,0,P323,B,P243,A
D80,221,4,107,0,P223,D,P354,A
D4,220,17,121,0,P330,B,P257,A
D221,220,18,117,0,P123,B,P294,A
D134,220,0,100,0,P186,C,P271,A
D18,220,0,110,0,P228,D,P338,A
D204,220,24,143,0,P255,B,P279,A
D44,216,11,124,0,P157,B,P292,A
D115,216,4,108,0,P258,A,P258,A
D229,215,18,138,0,P329,C,P295,A
D83,213,13,114,0,P199,D,P298,A
D160,210,18,129,0,P65,D,P299,A
D187,208,4,125,0,P281,D,P314,A
D36,207,9,120,0,P145,A,P145,A
D58,207,24,126,0,P334,D,P318,A
D123,206,3,103,0,P236,C,P321,A
D91,206,21,120,0,P197,C,P326,A
D176,206,15,121,0,P256,C,P328,A
D11,203,3,108,0,P125,C,P335,A
D72,203,20,136,0,P364,D,P336,A
D233,203,22,130,0,P273,A,P273,A
D81,201,0,0,0,P0,*,P4,B
D87,201,5,107,0,P347,B,P343,A
D139,199,18,120,0,P76,D,P344,A
D232,199,0,103,0,P249,A,P249,A
D47,197,11,121,0,P47,D,P357,A
D174,197,3,113,0,P276,B,P358,A
D218,197,11,119,0,P102,A,P102,A
D78,195,21,134,0,P42,B,P365,A
D140,195,15,125,0,P115,A,P115,A
D24,195,18,134,0,P169,D,P89,B
D181,193,8,126,0,P179,C,P8,B
D192,192,17,120,0,P269,C,P9,B
D42,189,11,114,0,P254,B,P12,B
D190,187,23,123,0,P78,B,P16,B
D195,185,18,117,0,P374,C,P17,B
D107,185,2,119,0,P333,D,P23,B
D157,180,20,121,0,P316,A,P24,B
D38,179,17,125,0,P295,A,P34,B
D82,178,24,132,0,P100,A,P35,B
D23,174,18,127,0,P189,B,P39,B
D136,174,8,111,0,P174,B,P42,B
D25,173,4,112,0,P354,A,P52,B
D37,171,10,110,0,P180,D,P53,B
D105,171,22,128,0,P164,C,P54,B
D188,170,21,121,0,P282,D,P60,B
D128,170,3,121,0,P303,C,P63,B
D249,169,4,111,0,P61,D,P67,B
D152,167,4,119,0,P196,C,P69,B
D199,166,10,126,0,P327,C,P70,B
D116,166,8,128,0,P33,D,P71,B
D102,165,2,114,0,P73,D,P72,B
D244,162,9,125,0,P159,D,P74,B
D101,161,7,116,0,P110,A,P77,B
D133,160,18,126,0,P268,B,P78,B
D62,159,8,126,0,P103,B,P80,B
D222,159,6,118,0,P225,D,P82,B
D186,157,8,113,0,P266,D,P91,B
D3,156,20,134,0,P293,D,P94,B
D151,152,17,136,0,P129,A,P96,B
D124,152,3,124,0,P192,B,P98,B
D90,151,3,109,0,P130,A,P99,B
D73,151,20,122,0,P9,B,P103,B
D54,150,20,133,0,P300,D,P108,B
D94,147,20,127,0,P198,D,P109,B
D20,145,11,128,0,P173,D,P120,B
D191,145,24,131,0,P290,C,P121,B
D52,144,23,127,0,P348,D,P123,B
D8,143,0,102,0,P81,D,P127,B
D170,142,18,119,0,P285,D,P132,B
D247,142,23,121,0,P210,D,P147,B
D67,141,7,118,0,P57,D,P148,B
D14,141,10,108,0,P149,A,P150,B
D226,138,7,109,0,P55,D,P153,B
D156,136,8,106,0,P88,D,P154,B
D111,136,8,110,0,P262,B,P157,B
D76,135,2,122,0,P92,D,P160,B
D28,133,11,120,0,P363,C,P162,B
D71,133,11,110,0,P118,D,P165,B
D178,132,19,127,0,P41,C,P167,B
D194,131,1,116,0,P346,D,P168,B
D183,131,21,135,0,P206,A,P170,B
D93,130,20,125,0,P245,D,P171,B
D1,128,19,122,0,P261,C,P174,B
D100,128,21,129,0,P11,C,P175,B
D69,127,2,114,0,P224,D,P177,B
D172,125,11,108,0,P36,D,P178,B
D185,124,6,118,0,P85,C,P181,B
D242,123,4,114,0,P244,B,P183,B
D119,123,6,116,0,P48,D,P189,B
