diplomata,tempo_servico,tempo_na_lotacao,tempo_fora,tempo_sede,lotacao_anterior,classificacao_anterior,lotacao_alocada,classificacao_alocada
D66,298,15,122,0,P549,D,P10,A
D9,297,20,129,0,P408,A,P408,A
D72,297,14,112,0,P553,B,P12,A
D135,297,5,117,0,P211,A,P211,A
D441,296,1,118,0,P145,A,P145,A
D276,296,3,112,0,P219,A,P219,A
D143,295,12,110,0,P41,C,P16,A
D28,295,3,116,0,P485,B,P18,A
D114,295,13,125,0,P590,B,P335,A
D443,292,21,139,0,P424,C,P38,A
D45,292,11,110,0,P82,D,P37,A
D107,291,20,137,0,P95,A,P95,A
D368,291,1,110,0,P27,A,P27,A
D198,291,4,123,0,P316,B,P39,A
D418,290,10,128,0,P367,D,P40,A
D133,289,2,115,0,P655,C,P42,A
D374,288,12,128,0,P255,A,P255,A
D201,287,6,103,0,P494,B,P397,A
D69,286,4,124,0,P663,B,P52,A
D434,285,14,123,0,P542,B,P54,A
D210,282,14,132,0,P287,B,P58,A
D57,282,14,119,0,P550,A,P550,A
D364,282,10,122,0,P439,A,P439,A
D104,281,21,131,0,P604,B,P73,A
D203,281,18,116,0,P471,D,P83,A
D357,281,15,118,0,P422,D,P89,A
D238,281,6,110,0,P252,C,P91,A
D253,279,18,126,0,P599,B,P181,A
D279,279,23,132,0,P387,D,P96,A
D401,278,21,123,0,P611,A,P611,A
D102,278,10,127,0,P447,C,P482,A
D278,276,13,110,0,P362,A,P362,A
D358,276,13,132,0,P640,A,P640,A
D282,276,3,122,0,P596,A,P596,A
D73,274,15,134,0,P150,D,P120,A
D137,274,6,121,0,P475,D,P102,A
D42,273,7,120,0,P438,C,P103,A
D153,273,18,127,0,P405,B,P571,A
D335,273,6,106,0,P434,B,P109,A
D288,272,0,103,0,P578,A,P578,A
D30,272,17,115,0,P60,D,P115,A
D267,271,11,117,0,P645,A,P645,A
D310,269,3,119,0,P243,C,P116,A
D32,268,2,120,0,P574,B,P118,A
D29,268,8,111,0,P649,A,P649,A
D177,267,11,108,0,P101,A,P101,A
D194,264,18,118,0,P88,C,P303,A
D6,263,6,122,0,P528,D,P123,A
D148,262,8,122,0,P417,D,P127,A
D110,261,20,132,0,P558,D,P133,A
D74,261,0,118,0,P626,A,P626,A
D189,258,15,113,0,P313,C,P134,A
D399,258,7,124,0,P342,B,P135,A
D109,257,20,130,0,P476,B,P515,A
D369,257,1,116,0,P246,A,P246,A
D207,257,10,119,0,P565,C,P146,A
D275,255,0,101,0,P353,D,P148,A
D404,253,0,114,0,P572,D,P149,A
D346,253,18,132,0,P217,A,P217,A
D154,253,1,113,0,P218,D,P153,A
D336,253,19,130,0,P605,C,P154,A
D44,252,12,111,0,P548,A,P548,A
