diplomata,tempo_servico,tempo_na_lotacao,tempo_fora,tempo_sede,lotacao_anterior,classificacao_anterior,lotacao_alocada,classificacao_alocada
D16,298,12,132,0,P32,A,P32,A
D46,293,16,120,0,P15,B,P2,A
D35,293,5,103,0,P24,A,P24,A
D26,290,24,134,0,P9,B,P5,A
D13,287,12,120,0,P74,C,P13,A
D40,281,15,121,0,P12,B,P18,A
D22,279,23,140,0,P60,D,P19,A
D48,278,12,133,0,P59,A,P59,A
D8,277,10,128,0,P6,B,P25,A
D19,276,12,120,0,P11,B,P26,A
D24,272,15,132,0,P69,C,P28,A
D28,269,7,104,0,P67,C,P30,A
D9,262,11,126,0,P39,A,P39,A
D12,261,5,111,0,P35,D,P31,A
D29,259,20,129,0,P43,B,P38,A
D49,252,18,131,0,P47,D,P44,A
D15,250,18,138,0,P16,B,P50,A
D2,246,18,122,0,P17,D,P52,A
D17,237,6,126,0,P23,B,P57,A
D20,237,5,119,0,P56,A,P56,A
D6,235,5,126,0,P48,B,P64,A
D1,229,2,104,0,P41,C,P73,A
D21,214,21,127,0,P1,C,P75,A
D10,213,19,119,0,P51,D,P23,B
D23,211,14,133,0,P34,C,P6,B
D27,207,13,125,0,P73,A,P9,B
D50,203,8,120,0,P49,C,P10,B
D18,202,5,113,0,P26,A,P11,B
D39,189,17,120,0,P20,C,P12,B
D31,189,16,116,0,P14,D,P15,B
D4,178,17,115,0,P29,D,P16,B
D47,172,16,128,0,P27,D,P22,B
D33,170,18,123,0,P25,A,P43,B
D5,164,2,107,0,P5,A,P48,B
D14,158,0,116,0,P70,C,P62,B
D43,145,19,135,0,P36,D,P63,B
D44,143,2,122,0,P38,A,P68,B
D36,93,3,111,0,P7,D,P71,B
D45,67,13,133,0,P44,A,P40,C
D25,61,6,110,0,P53,C,P1,C
D41,60,24,124,0,P64,A,P3,C
D34,54,20,127,0,P68,B,P8,C
D37,52,21,121,0,P52,A,P20,C
D11,47,0,118,0,P58,D,P34,C
D42,35,17,114,0,P61,D,P41,C
D3,20,0,115,0,P28,A,P49,C
D30,18,23,122,0,P71,B,P53,C
D32,9,23,129,0,P62,B,P66,C
D38,2,7,119,0,P40,C,P67,C
D7,1,20,121,0,P55,D,P69,C
